"Time (Months)","Incentives","Klima Holders","Product Design","Ecosystem Grant","DAO / Treasury","pKlima Holders","01X"
0,100.00000,71.42857,71.42857,71.42857,71.42857,25.51020,25.51020
1,100.00000,69.34815,69.34815,69.34815,69.34815,24.76720,24.76720
2,100.00000,67.20412,67.20412,67.20412,67.20412,24.00147,24.00147
3,100.00000,66.80235,62.92917,62.44503,61.96088,22.31563,22.02514
4,100.00000,66.43144,59.00254,58.07393,57.14532,20.76722,20.21005
5,100.00000,66.08941,55.40331,54.06754,52.73178,19.34800,18.54654
6,100.00000,65.77428,52.11041,50.40243,48.69445,18.04967,17.02488
7,100.00000,65.48408,49.10298,47.05534,45.00771,16.86398,15.63540
8,100.00000,65.21688,46.36057,44.00353,41.64649,15.78289,14.36867
9,100.00000,64.97082,43.86337,41.22494,38.58651,14.79858,13.21552
10,100.00000,64.74412,41.59238,38.69841,35.80444,13.90354,12.16716
11,100.00000,64.53511,39.52949,36.40378,33.27808,13.09066,11.21524
12,100.00000,64.34219,37.65758,34.32200,30.98642,12.35316,10.35181
13,100.00000,64.16388,35.96054,32.43513,28.90971,11.68470,9.56945
14,100.00000,63.99883,34.42332,30.72638,27.02945,11.07934,8.86117
15,100.00000,63.84578,33.03189,29.18015,25.32842,10.53153,8.22049
16,100.00000,63.70359,31.77324,27.78194,23.79065,10.03616,7.64138
17,100.00000,63.57123,30.63535,26.51836,22.40138,9.58847,7.11828
18,100.00000,63.44779,29.60716,25.37708,21.14700,9.18410,6.64605
19,100.00000,63.33244,28.67849,24.34675,20.01500,8.81903,6.21999
20,100.00000,63.22447,27.84005,23.41699,18.99394,8.48958,5.83575
21,100.00000,63.12326,27.08331,22.57832,18.07332,8.19240,5.48940
22,100.00000,63.02825,26.40052,21.82205,17.24359,7.92440,5.17732
23,100.00000,62.93898,25.78461,21.14031,16.49601,7.68280,4.89623
24,100.00000,62.85505,25.22915,20.52591,15.82267,7.46506,4.64312
25,100.00000,62.77612,24.72832,19.97234,15.21636,7.26886,4.41528
26,100.00000,62.70190,24.27682,19.47368,14.67055,7.09212,4.21024
27,100.00000,62.63214,23.86986,19.02458,14.17929,6.93293,4.02576
28,100.00000,62.56661,23.50311,18.62018,13.73724,6.78958,3.85981
29,100.00000,62.50513,23.17265,18.25609,13.33953,6.66051,3.71057
30,100.00000,62.44752,22.87493,17.92836,12.98178,6.54432,3.57637
31,100.00000,62.39362,22.60674,17.63338,12.66003,6.43973,3.45572
32,100.00000,62.34327,22.36520,17.36794,12.37068,6.34561,3.34726
33,100.00000,62.29634,22.14768,17.12909,12.11051,6.26092,3.24977
34,100.00000,62.25267,21.95182,16.91422,11.87661,6.18472,3.16216
35,100.00000,62.21213,21.77550,16.72092,11.66634,6.11617,3.08343
36,100.00000,62.17455,21.61679,16.54706,11.47734,6.05452,3.01268
37,100.00000,62.13980,21.47394,16.39071,11.30748,5.99906,2.94912
38,100.00000,62.10773,21.34540,16.25011,11.15482,5.94919,2.89202
39,100.00000,62.07819,21.22975,16.12369,11.01764,5.90435,2.84072
40,100.00000,62.05102,21.12570,16.01004,10.89437,5.86403,2.79463
41,100.00000,62.02610,21.03211,15.90786,10.78362,5.82779,2.75324
42,100.00000,62.00326,20.94794,15.81603,10.68411,5.79521,2.71606
43,100.00000,61.98238,20.87225,15.73348,10.59472,5.76592,2.68266
44,100.00000,61.96330,20.80419,15.65930,10.51441,5.73960,2.65267
45,100.00000,61.94591,20.74300,15.59264,10.44228,5.71595,2.62573
46,100.00000,61.93007,20.68800,15.53274,10.37748,5.69470,2.60154
47,100.00000,61.91567,20.63856,15.47892,10.31928,5.67560,2.57982
48,100.00000,61.72840,20.57613,15.43210,10.28807,5.65844,2.57202
49,100.00000,61.55868,20.51956,15.38967,10.25978,5.64288,2.56494
50,100.00000,61.40502,20.46834,15.35125,10.23417,5.62879,2.55854
51,100.00000,61.26601,20.42200,15.31650,10.21100,5.61605,2.55275
52,100.00000,61.14034,20.38011,15.28509,10.19006,5.60453,2.54751
53,100.00000,61.02682,20.34227,15.25670,10.17114,5.59413,2.54278
54,100.00000,60.92433,20.30811,15.23108,10.15405,5.58473,2.53851
55,100.00000,60.83185,20.27728,15.20796,10.13864,5.57625,2.53466
56,100.00000,60.74845,20.24948,15.18711,10.12474,5.56861,2.53119
57,100.00000,60.67326,20.22442,15.16832,10.11221,5.56172,2.52805
58,100.00000,60.60551,20.20184,15.15138,10.10092,5.55551,2.52523
59,100.00000,60.54449,20.18150,15.13612,10.09075,5.54991,2.52269
60,100.00000,60.48954,20.16318,15.12238,10.08159,5.54487,2.52040