"Time (Months)","Incentives (%)","Klima Holders (%)","Product Design (%)","Ecosystem Grant (%)","DAO / Treasury (%)","pKlima Holders (%)","01X (%)"
0,2.80000,0.00000,0.00000,0.00000,4.50000,0.00000,2.50000
1,3.09400,0.00000,0.00000,0.00000,4.50000,0.00000,2.50000
2,3.41603,0.00000,0.00000,0.00000,4.50000,0.00000,2.50000
3,3.76815,0.43963,0.05495,0.05495,4.50000,0.03297,2.50000
4,4.15246,0.91896,0.11487,0.11487,4.50000,0.06892,2.50000
5,4.57101,1.44044,0.18006,0.18006,4.50000,0.10803,2.50000
6,5.02584,2.00646,0.25081,0.25081,4.50000,0.15048,2.50000
7,5.51887,2.61923,0.32740,0.32740,4.50000,0.19644,2.50000
8,6.05191,3.28080,0.41010,0.41010,4.50000,0.24606,2.50000
9,6.62653,3.99293,0.49912,0.49912,4.50000,0.29947,2.50000
10,7.24406,4.75701,0.59463,0.59463,4.50000,0.35678,2.50000
11,7.90552,5.57403,0.69675,0.69675,4.50000,0.41805,2.50000
12,8.61149,6.44443,0.80555,0.80555,4.50000,0.48333,2.50000
13,9.36212,7.36807,0.92101,0.92101,4.50000,0.55261,2.50000
14,10.15700,8.34413,1.04302,1.04302,4.50000,0.62581,2.50000
15,10.99515,9.37106,1.17138,1.17138,4.50000,0.70283,2.50000
16,11.87495,10.44652,1.30582,1.30582,4.50000,0.78349,2.50000
17,12.79409,11.56736,1.44592,1.44592,4.50000,0.86755,2.50000
18,13.74959,12.72960,1.59120,1.59120,4.50000,0.95472,2.50000
19,14.73780,13.92847,1.74106,1.74106,4.50000,1.04464,2.50000
20,15.75441,15.15847,1.89481,1.89481,4.50000,1.13689,2.50000
21,16.79452,16.41342,2.05168,2.05168,4.50000,1.23101,2.50000
22,17.85273,17.68661,2.21083,2.21083,4.50000,1.32650,2.50000
23,18.92325,18.97092,2.37137,2.37137,4.50000,1.42282,2.50000
24,20.00000,20.25896,2.53237,2.53237,4.50000,1.51942,2.50000
25,21.07675,21.54327,2.69291,2.69291,4.50000,1.61575,2.50000
26,22.14727,22.81646,2.85206,2.85206,4.50000,1.71123,2.50000
27,23.20548,24.07142,3.00893,3.00893,4.50000,1.80536,2.50000
28,24.24559,25.30141,3.16268,3.16268,4.50000,1.89761,2.50000
29,25.26220,26.50029,3.31254,3.31254,4.50000,1.98752,2.50000
30,26.25041,27.66253,3.45782,3.45782,4.50000,2.07469,2.50000
31,27.20591,28.78336,3.59792,3.59792,4.50000,2.15875,2.50000
32,28.12505,29.85882,3.73235,3.73235,4.50000,2.23941,2.50000
33,29.00485,30.88575,3.86072,3.86072,4.50000,2.31643,2.50000
34,29.84300,31.86182,3.98273,3.98273,4.50000,2.38964,2.50000
35,30.63788,32.78546,4.09818,4.09818,4.50000,2.45891,2.50000
36,31.38851,33.65585,4.20698,4.20698,4.50000,2.52419,2.50000
37,32.09448,34.47287,4.30911,4.30911,4.50000,2.58547,2.50000
38,32.75594,35.23695,4.40462,4.40462,4.50000,2.64277,2.50000
39,33.37347,35.94908,4.49364,4.49364,4.50000,2.69618,2.50000
40,33.94809,36.61065,4.57633,4.57633,4.50000,2.74580,2.50000
41,34.48113,37.22343,4.65293,4.65293,4.50000,2.79176,2.50000
42,34.97416,37.78944,4.72368,4.72368,4.50000,2.83421,2.50000
43,35.42899,38.31092,4.78887,4.78887,4.50000,2.87332,2.50000
44,35.84754,38.79025,4.84878,4.84878,4.50000,2.90927,2.50000
45,36.23185,39.22988,4.90374,4.90374,4.50000,2.94224,2.50000
46,36.58397,39.63231,4.95404,4.95404,4.50000,2.97242,2.50000
47,36.90600,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
48,37.20000,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
49,37.46798,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
50,37.71188,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
51,37.93359,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
52,38.13488,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
53,38.31743,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
54,38.48282,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
55,38.63254,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
56,38.76796,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
57,38.89035,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
58,39.00089,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
59,39.10068,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000
60,39.19071,40.00000,5.00000,5.00000,4.50000,3.00000,2.50000